id,name,label,homepage,stories_per_week,primary_language,name_clean
24581,colorlines.com,colorlines.com,http://colorlines.com,12,en,colorlines
24621,hollywoodlife.com,hollywoodlife.com,http://hollywoodlife.com,257,en,hollywoodlife
24652,opposingviews.com,opposingviews.com,http://www.opposingviews.com,86,en,opposingviews
24661,newsone.com,newsone.com,http://newsone.com,9,en,newsone
24745,nbcsports.com,NBC Sports,http://www.nbcsports.com/,331,en,nbcsports
24747,radaronline.com,radaronline.com,http://www.radaronline.com,228,en,radaronline
24757,usmagazine.com,US Weekly,http://www.usmagazine.com,468,en,usmagazine
24901,bleacherreport.com,Bleacher Report,http://bleacherreport.com,1326,en,bleacherreport
24940,seattletimes.com,Seattle Times,http://seattletimes.com,-1,en,seattletimes
25128,azcentral.com,AZCentral,http://www.azcentral.com,1129,en,azcentral
27,stltoday.com,St. Louis Post Dispatch,http://www.stltoday.com/,1307,en,stltoday
25180,creators.com,creators.com,http://www.creators.com,-1,en,creators
25336,eurweb.com,eurweb,http://www.eurweb.com,136,en,eurweb
25349,newsmax.com,Newsmax,http://www.newsmax.com,-1,,newsmax
25363,nationalmemo.com,National Memo,http://www.nationalmemo.com,37,en,nationalmemo
25626,patriotpost.us,patriot post,http://patriotpost.us,55,en,patriotpost
111288,centralmaine.com,centralmaine.com,http://centralmaine.com/,480,,centralmaine
25848,cbssports.com,cbssports.com,http://www.cbssports.com,928,en,cbssports
26140,gazettenet.com,gazettenet.com,http://www.gazettenet.com,171,en,gazettenet
26310,rutlandherald.com,rutlandherald.com,http://www.rutlandherald.com,-1,en,rutlandherald
26363,opednews.com,opednews.com,http://www.opednews.com,46,en,opednews
26590,cincinnati.com,cincinnati.com,http://cincinnati.com,382,en,cincinnati
26924,inquisitr.com,Inquisitr,http://www.inquisitr.com,97,en,inquisitr
323119,indiewire.com,IndieWire,http://www.indiewire.com/feed/,62,en,indiewire
27011,investors.com,Investors,http://www.investors.com,-1,en,investors
27343,grist.org,Grist,http://grist.org/,21,en,grist
